date_id,date,year,month,month_name,day,quarter,day_of_week_name
20241126,2024-11-26,2024,11,November,26,4,Tuesday
20240131,2024-01-31,2024,1,January,31,1,Wednesday
20250226,2025-02-26,2025,2,February,26,1,Wednesday
20250301,2025-03-01,2025,3,March,1,1,Saturday
20240330,2024-03-30,2024,3,March,30,1,Saturday
20240312,2024-03-12,2024,3,March,12,1,Tuesday
20250715,2025-07-15,2025,7,July,15,3,Tuesday
20241111,2024-11-11,2024,11,November,11,4,Monday
20240825,2024-08-25,2024,8,August,25,3,Sunday
20240313,2024-03-13,2024,3,March,13,1,Wednesday
20250617,2025-06-17,2025,6,June,17,2,Tuesday
20240809,2024-08-09,2024,8,August,9,3,Friday
20250323,2025-03-23,2025,3,March,23,1,Sunday
20250818,2025-08-18,2025,8,August,18,3,Monday
20240915,2024-09-15,2024,9,September,15,3,Sunday
20250827,2025-08-27,2025,8,August,27,3,Wednesday
20250219,2025-02-19,2025,2,February,19,1,Wednesday
20240714,2024-07-14,2024,7,July,14,3,Sunday
20250421,2025-04-21,2025,4,April,21,2,Monday
20240506,2024-05-06,2024,5,May,6,2,Monday
20250923,2025-09-23,2025,9,September,23,3,Tuesday
20240331,2024-03-31,2024,3,March,31,1,Sunday
20250705,2025-07-05,2025,7,July,5,3,Saturday
20250302,2025-03-02,2025,3,March,2,1,Sunday
20250826,2025-08-26,2025,8,August,26,3,Tuesday
20241212,2024-12-12,2024,12,December,12,4,Thursday
20241202,2024-12-02,2024,12,December,2,4,Monday
20240517,2024-05-17,2024,5,May,17,2,Friday
20250914,2025-09-14,2025,9,September,14,3,Sunday
20250609,2025-06-09,2025,6,June,9,2,Monday
20250510,2025-05-10,2025,5,May,10,2,Saturday
20250315,2025-03-15,2025,3,March,15,1,Saturday
20240608,2024-06-08,2024,6,June,8,2,Saturday
20241117,2024-11-17,2024,11,November,17,4,Sunday
20240112,2024-01-12,2024,1,January,12,1,Friday
20240924,2024-09-24,2024,9,September,24,3,Tuesday
20240126,2024-01-26,2024,1,January,26,1,Friday
20240202,2024-02-02,2024,2,February,2,1,Friday
20240523,2024-05-23,2024,5,May,23,2,Thursday
20240304,2024-03-04,2024,3,March,4,1,Monday
20240114,2024-01-14,2024,1,January,14,1,Sunday
20240927,2024-09-27,2024,9,September,27,3,Friday
20240521,2024-05-21,2024,5,May,21,2,Tuesday
20250902,2025-09-02,2025,9,September,2,3,Tuesday
20240201,2024-02-01,2024,2,February,1,1,Thursday
20240308,2024-03-08,2024,3,March,8,1,Friday
20240913,2024-09-13,2024,9,September,13,3,Friday
20240811,2024-08-11,2024,8,August,11,3,Sunday
20240725,2024-07-25,2024,7,July,25,3,Thursday
20241104,2024-11-04,2024,11,November,4,4,Monday
20240810,2024-08-10,2024,8,August,10,3,Saturday
20240316,2024-03-16,2024,3,March,16,1,Saturday
20250723,2025-07-23,2025,7,July,23,3,Wednesday
20250412,2025-04-12,2025,4,April,12,2,Saturday
20250221,2025-02-21,2025,2,February,21,1,Friday
20240921,2024-09-21,2024,9,September,21,3,Saturday
20240701,2024-07-01,2024,7,July,1,3,Monday
20240225,2024-02-25,2024,2,February,25,1,Sunday
20241223,2024-12-23,2024,12,December,23,4,Monday
20240530,2024-05-30,2024,5,May,30,2,Thursday
20250304,2025-03-04,2025,3,March,4,1,Tuesday
20240917,2024-09-17,2024,9,September,17,3,Tuesday
20250411,2025-04-11,2025,4,April,11,2,Friday
20241201,2024-12-01,2024,12,December,1,4,Sunday
20240612,2024-06-12,2024,6,June,12,2,Wednesday
20250725,2025-07-25,2025,7,July,25,3,Friday
20240722,2024-07-22,2024,7,July,22,3,Monday
20241207,2024-12-07,2024,12,December,7,4,Saturday
20241214,2024-12-14,2024,12,December,14,4,Saturday
20250322,2025-03-22,2025,3,March,22,1,Saturday
20240301,2024-03-01,2024,3,March,1,1,Friday
20241204,2024-12-04,2024,12,December,4,4,Wednesday
20250109,2025-01-09,2025,1,January,9,1,Thursday
20250916,2025-09-16,2025,9,September,16,3,Tuesday
20250202,2025-02-02,2025,2,February,2,1,Sunday
20250921,2025-09-21,2025,9,September,21,3,Sunday
20240210,2024-02-10,2024,2,February,10,1,Saturday
20241125,2024-11-25,2024,11,November,25,4,Monday
20241213,2024-12-13,2024,12,December,13,4,Friday
20240203,2024-02-03,2024,2,February,3,1,Saturday
20250618,2025-06-18,2025,6,June,18,2,Wednesday
20240127,2024-01-27,2024,1,January,27,1,Saturday
20240217,2024-02-17,2024,2,February,17,1,Saturday
20240613,2024-06-13,2024,6,June,13,2,Thursday
20241114,2024-11-14,2024,11,November,14,4,Thursday
20241227,2024-12-27,2024,12,December,27,4,Friday
20250925,2025-09-25,2025,9,September,25,3,Thursday
20250523,2025-05-23,2025,5,May,23,2,Friday
20250116,2025-01-16,2025,1,January,16,1,Thursday
20240227,2024-02-27,2024,2,February,27,1,Tuesday
20240730,2024-07-30,2024,7,July,30,3,Tuesday
20241119,2024-11-19,2024,11,November,19,4,Tuesday
20240325,2024-03-25,2024,3,March,25,1,Monday
20240323,2024-03-23,2024,3,March,23,1,Saturday
20240512,2024-05-12,2024,5,May,12,2,Sunday
20250208,2025-02-08,2025,2,February,8,1,Saturday
20240522,2024-05-22,2024,5,May,22,2,Wednesday
20250704,2025-07-04,2025,7,July,4,3,Friday
20240422,2024-04-22,2024,4,April,22,2,Monday
20250604,2025-06-04,2025,6,June,4,2,Wednesday
20241220,2024-12-20,2024,12,December,20,4,Friday
20250228,2025-02-28,2025,2,February,28,1,Friday
20240121,2024-01-21,2024,1,January,21,1,Sunday
20240219,2024-02-19,2024,2,February,19,1,Monday
20250119,2025-01-19,2025,1,January,19,1,Sunday
20250816,2025-08-16,2025,8,August,16,3,Saturday
20250716,2025-07-16,2025,7,July,16,3,Wednesday
20240418,2024-04-18,2024,4,April,18,2,Thursday
20250830,2025-08-30,2025,8,August,30,3,Saturday
20250624,2025-06-24,2025,6,June,24,2,Tuesday
20240206,2024-02-06,2024,2,February,6,1,Tuesday
20240709,2024-07-09,2024,7,July,9,3,Tuesday
20240228,2024-02-28,2024,2,February,28,1,Wednesday
20250420,2025-04-20,2025,4,April,20,2,Sunday
20250917,2025-09-17,2025,9,September,17,3,Wednesday
20250521,2025-05-21,2025,5,May,21,2,Wednesday
20240125,2024-01-25,2024,1,January,25,1,Thursday
20240726,2024-07-26,2024,7,July,26,3,Friday
20240614,2024-06-14,2024,6,June,14,2,Friday
20240106,2024-01-06,2024,1,January,6,1,Saturday
20250120,2025-01-20,2025,1,January,20,1,Monday
20241115,2024-11-15,2024,11,November,15,4,Friday
20240103,2024-01-03,2024,1,January,3,1,Wednesday
20240406,2024-04-06,2024,4,April,6,2,Saturday
20250217,2025-02-17,2025,2,February,17,1,Monday
20241130,2024-11-30,2024,11,November,30,4,Saturday
20250625,2025-06-25,2025,6,June,25,2,Wednesday
20240606,2024-06-06,2024,6,June,6,2,Thursday
20240209,2024-02-09,2024,2,February,9,1,Friday
20250719,2025-07-19,2025,7,July,19,3,Saturday
20240505,2024-05-05,2024,5,May,5,2,Sunday
20250621,2025-06-21,2025,6,June,21,2,Saturday
20250121,2025-01-21,2025,1,January,21,1,Tuesday
20250530,2025-05-30,2025,5,May,30,2,Friday
20240416,2024-04-16,2024,4,April,16,2,Tuesday
20240108,2024-01-08,2024,1,January,8,1,Monday
20250610,2025-06-10,2025,6,June,10,2,Tuesday
20240212,2024-02-12,2024,2,February,12,1,Monday
20241029,2024-10-29,2024,10,October,29,4,Tuesday
20250126,2025-01-26,2025,1,January,26,1,Sunday
20240424,2024-04-24,2024,4,April,24,2,Wednesday
20241021,2024-10-21,2024,10,October,21,4,Monday
20250731,2025-07-31,2025,7,July,31,3,Thursday
20240224,2024-02-24,2024,2,February,24,1,Saturday
20250222,2025-02-22,2025,2,February,22,1,Saturday
20250727,2025-07-27,2025,7,July,27,3,Sunday
20250118,2025-01-18,2025,1,January,18,1,Saturday
20240226,2024-02-26,2024,2,February,26,1,Monday
20240708,2024-07-08,2024,7,July,8,3,Monday
20240329,2024-03-29,2024,3,March,29,1,Friday
20250227,2025-02-27,2025,2,February,27,1,Thursday
20240507,2024-05-07,2024,5,May,7,2,Tuesday
20250616,2025-06-16,2025,6,June,16,2,Monday
20240907,2024-09-07,2024,9,September,7,3,Saturday
20240531,2024-05-31,2024,5,May,31,2,Friday
20250225,2025-02-25,2025,2,February,25,1,Tuesday
20241123,2024-11-23,2024,11,November,23,4,Saturday
20250503,2025-05-03,2025,5,May,3,2,Saturday
20250812,2025-08-12,2025,8,August,12,3,Tuesday
20241112,2024-11-12,2024,11,November,12,4,Tuesday
20240908,2024-09-08,2024,9,September,8,3,Sunday
20241026,2024-10-26,2024,10,October,26,4,Saturday
20250511,2025-05-11,2025,5,May,11,2,Sunday
20240718,2024-07-18,2024,7,July,18,3,Thursday
20250212,2025-02-12,2025,2,February,12,1,Wednesday
20250823,2025-08-23,2025,8,August,23,3,Saturday
20240502,2024-05-02,2024,5,May,2,2,Thursday
20240605,2024-06-05,2024,6,June,5,2,Wednesday
20240215,2024-02-15,2024,2,February,15,1,Thursday
20250913,2025-09-13,2025,9,September,13,3,Saturday
20250814,2025-08-14,2025,8,August,14,3,Thursday
20240409,2024-04-09,2024,4,April,9,2,Tuesday
20250319,2025-03-19,2025,3,March,19,1,Wednesday
20240925,2024-09-25,2024,9,September,25,3,Wednesday
20241116,2024-11-16,2024,11,November,16,4,Saturday
20250327,2025-03-27,2025,3,March,27,1,Thursday
20250127,2025-01-27,2025,1,January,27,1,Monday
20240930,2024-09-30,2024,9,September,30,3,Monday
20250726,2025-07-26,2025,7,July,26,3,Saturday
20250507,2025-05-07,2025,5,May,7,2,Wednesday
20250403,2025-04-03,2025,4,April,3,2,Thursday
20250320,2025-03-20,2025,3,March,20,1,Thursday
20250218,2025-02-18,2025,2,February,18,1,Tuesday
20240719,2024-07-19,2024,7,July,19,3,Friday
20240129,2024-01-29,2024,1,January,29,1,Monday
20240405,2024-04-05,2024,4,April,5,2,Friday
20240704,2024-07-04,2024,7,July,4,3,Thursday
20240830,2024-08-30,2024,8,August,30,3,Friday
20241224,2024-12-24,2024,12,December,24,4,Tuesday
20250805,2025-08-05,2025,8,August,5,3,Tuesday
20240716,2024-07-16,2024,7,July,16,3,Tuesday
20240717,2024-07-17,2024,7,July,17,3,Wednesday
20250410,2025-04-10,2025,4,April,10,2,Thursday
20241229,2024-12-29,2024,12,December,29,4,Sunday
20250528,2025-05-28,2025,5,May,28,2,Wednesday
20241002,2024-10-02,2024,10,October,2,4,Wednesday
20250104,2025-01-04,2025,1,January,4,1,Saturday
20240220,2024-02-20,2024,2,February,20,1,Tuesday
20241020,2024-10-20,2024,10,October,20,4,Sunday
20241011,2024-10-11,2024,10,October,11,4,Friday
20250815,2025-08-15,2025,8,August,15,3,Friday
20250608,2025-06-08,2025,6,June,8,2,Sunday
20250508,2025-05-08,2025,5,May,8,2,Thursday
20250927,2025-09-27,2025,9,September,27,3,Saturday
20240419,2024-04-19,2024,4,April,19,2,Friday
20240315,2024-03-15,2024,3,March,15,1,Friday
