nps_response_sk,responded_at_date_id,responded_at_time,customer_sk,comment,channel_sk,score
1,20240601,03:07:26,1083,,1,10
2,20240311,13:19:21,1383,Volvería a comprar,1,5
3,20240411,23:16:07,179,Atención muy buena,1,10
4,20240630,17:09:09,566,Todo perfecto,1,7
5,20250205,02:14:04,1004,Atención muy buena,1,8
6,20250614,03:14:19,1261,Tardó un poco más de lo esperado,1,10
7,20240419,16:54:51,1376,Todo perfecto,1,6
8,20240703,21:24:42,837,Volvería a comprar,1,3
9,20250721,20:49:01,994,Todo perfecto,1,7
10,20240413,08:57:20,192,Entrega rápida y producto excelente,1,8
11,20241104,16:13:34,1330,,1,6
12,20250703,01:14:44,442,Atención muy buena,2,0
13,20250430,09:11:49,57,Atención muy buena,1,7
14,20250807,09:04:49,559,Entrega rápida y producto excelente,1,8
15,20250416,12:47:22,130,Muy conforme con la calidad,1,10
16,20240626,03:02:56,238,Volvería a comprar,2,4
17,20250417,10:53:49,629,Entrega rápida y producto excelente,1,8
18,20240520,06:01:40,1162,Entrega rápida y producto excelente,2,7
19,20241005,22:11:11,80,Entrega rápida y producto excelente,2,9
20,20240319,06:51:10,1233,Muy conforme con la calidad,2,2
21,20240810,22:17:11,217,Entrega rápida y producto excelente,1,2
22,20250819,12:23:24,1015,Volvería a comprar,2,5
23,20240408,15:30:30,1086,Atención muy buena,2,7
24,20240128,17:20:54,692,Muy conforme con la calidad,1,9
25,20241026,18:33:14,960,Podría mejorar el empaque,1,6
26,20250330,05:45:07,695,Volvería a comprar,2,2
27,20250607,11:44:23,438,Volvería a comprar,1,10
28,20250508,00:53:32,564,Muy conforme con la calidad,1,9
29,20250525,21:17:36,1261,Volvería a comprar,1,7
30,20240610,01:15:40,1122,Atención muy buena,2,4
31,20251006,14:57:36,1427,Muy conforme con la calidad,1,5
32,20240830,23:16:06,661,Podría mejorar el empaque,1,10
33,20250208,09:38:10,1055,Todo perfecto,2,8
34,20250308,01:47:46,321,Podría mejorar el empaque,2,8
35,20240722,04:57:19,500,Atención muy buena,1,10
36,20240618,21:33:38,544,Volvería a comprar,1,8
37,20240723,01:29:34,1405,Atención muy buena,2,8
38,20240831,06:49:31,952,Podría mejorar el empaque,1,5
39,20241229,11:45:16,128,Entrega rápida y producto excelente,2,3
40,20250702,18:54:21,342,Tardó un poco más de lo esperado,2,8
41,20240521,01:36:06,19,Podría mejorar el empaque,2,3
42,20240722,03:55:21,189,Muy conforme con la calidad,1,8
43,20250907,18:46:17,797,Todo perfecto,1,4
44,20241211,16:56:35,1004,Entrega rápida y producto excelente,2,8
45,20250330,04:35:06,426,Todo perfecto,2,9
46,20250813,00:52:13,1026,Muy conforme con la calidad,1,8
47,20250419,22:10:36,812,,2,7
48,20240313,21:25:13,994,Entrega rápida y producto excelente,1,10
49,20250723,12:41:39,1171,,2,10
50,20250326,22:23:24,1207,Podría mejorar el empaque,2,2
51,20241118,16:03:56,1467,Todo perfecto,1,8
52,20240606,12:49:26,1484,Muy conforme con la calidad,2,8
53,20240523,01:17:13,815,Atención muy buena,1,9
