order_sk,date_id,channel_sk,store_sk,customer_sk,location_sk,status,subtotal,tax_amount,shipping_fee,total_amount
1,20241126,1,,356,599,FULFILLED,51600.0,10836.0,1200.0,63636.0
2,20240131,1,,601,2538,CREATED,63840.0,13406.4,900.0,78146.4
3,20250226,1,,1234,3067,FULFILLED,25260.0,5304.6,1500.0,32064.6
4,20250301,1,,156,511,FULFILLED,25500.0,5355.0,0.0,30855.0
5,20240330,2,4.0,616,4,FULFILLED,44175.0,9276.75,0.0,53451.75
6,20240312,2,2.0,614,2,FULFILLED,24000.0,5040.0,0.0,29040.0
7,20250715,1,,188,1152,REFUNDED,14250.0,2992.5,1200.0,18442.5
8,20241111,1,,17,2581,FULFILLED,13500.0,2835.0,1200.0,17535.0
9,20240825,1,,1148,494,FULFILLED,89100.0,18711.0,1200.0,109011.0
10,20240330,1,,1037,978,PAID,12825.0,2693.25,1200.0,16718.25
11,20240313,2,1.0,1336,1,REFUNDED,14700.0,3087.0,0.0,17787.0
12,20250617,2,4.0,1239,4,FULFILLED,34140.0,7169.4,0.0,41309.4
13,20240809,2,3.0,1426,3,FULFILLED,35280.0,7408.8,0.0,42688.8
14,20250323,2,1.0,862,1,PAID,101887.5,21396.38,0.0,123283.88
15,20250818,1,,181,2921,PAID,11760.0,2469.6,900.0,15129.6
16,20240915,1,,700,807,CANCELLED,23520.0,4939.2,1200.0,29659.2
17,20250827,1,,475,2562,FULFILLED,22680.0,4762.8,1200.0,28642.8
18,20250219,2,2.0,753,2,FULFILLED,66870.0,14042.7,0.0,80912.7
19,20240714,1,,1151,1695,CANCELLED,81990.0,17217.9,900.0,100107.9
20,20250421,1,,793,2616,FULFILLED,37044.0,7779.24,1200.0,46023.24
21,20240506,1,,866,2378,FULFILLED,49500.0,10395.0,0.0,59895.0
22,20250923,1,,1110,1549,FULFILLED,23520.0,4939.2,1200.0,29659.2
23,20240331,2,1.0,854,1,REFUNDED,24000.0,5040.0,0.0,29040.0
24,20250705,2,3.0,379,3,FULFILLED,68400.0,14364.0,0.0,82764.0
25,20250302,2,2.0,441,2,FULFILLED,11760.0,2469.6,0.0,14229.6
26,20250826,1,,125,516,FULFILLED,70087.5,14718.38,1200.0,86005.88
27,20241212,1,,1201,301,FULFILLED,13500.0,2835.0,1200.0,17535.0
28,20241202,1,,1055,1862,FULFILLED,22800.0,4788.0,900.0,28488.0
29,20240517,1,,382,1423,FULFILLED,12000.0,2520.0,0.0,14520.0
30,20250914,1,,1456,1425,FULFILLED,64740.0,13595.4,900.0,79235.4
31,20250609,2,4.0,1377,4,PAID,34200.0,7182.0,0.0,41382.0
32,20250510,2,4.0,1375,4,PAID,23520.0,4939.2,0.0,28459.2
33,20250315,1,,821,924,FULFILLED,27000.0,5670.0,1200.0,33870.0
34,20240608,2,4.0,1475,4,FULFILLED,14700.0,3087.0,0.0,17787.0
35,20241117,2,2.0,634,2,FULFILLED,85387.5,17931.38,0.0,103318.88
36,20240112,2,1.0,585,1,FULFILLED,21600.0,4536.0,0.0,26136.0
37,20240924,1,,180,1863,FULFILLED,49800.0,10458.0,900.0,61158.0
38,20240126,1,,482,2325,FULFILLED,24696.0,5186.16,1200.0,31082.16
39,20240202,2,1.0,620,1,FULFILLED,11760.0,2469.6,0.0,14229.6
40,20240523,2,1.0,603,1,FULFILLED,59160.0,12423.6,0.0,71583.6
41,20240304,1,,1028,1149,CANCELLED,11400.0,2394.0,1200.0,14994.0
42,20240114,2,3.0,1005,3,FULFILLED,24510.0,5147.1,0.0,29657.1
43,20240927,1,,790,33,FULFILLED,10260.0,2154.6,1500.0,13914.6
44,20240521,1,,665,2043,PAID,39600.0,8316.0,900.0,48816.0
45,20250902,1,,562,1135,FULFILLED,73500.0,15435.0,1500.0,90435.0
46,20240201,1,,998,1984,FULFILLED,36000.0,7560.0,900.0,44460.0
47,20240112,1,,276,493,FULFILLED,33000.0,6930.0,0.0,39930.0
48,20240308,2,2.0,1469,2,FULFILLED,10800.0,2268.0,0.0,13068.0
49,20240913,2,2.0,408,2,CREATED,23520.0,4939.2,0.0,28459.2
50,20240811,2,2.0,1360,2,FULFILLED,40500.0,8505.0,0.0,49005.0
51,20240725,1,,1423,665,FULFILLED,28500.0,5985.0,1200.0,35685.0
52,20240915,1,,741,1867,FULFILLED,30870.0,6482.7,900.0,38252.7
53,20241104,1,,969,1612,FULFILLED,70560.0,14817.6,0.0,85377.6
54,20240810,1,,729,458,CANCELLED,27000.0,5670.0,900.0,33570.0
55,20240316,2,4.0,251,4,PAID,12348.0,2593.08,0.0,14941.08
56,20250723,2,1.0,1087,1,PAID,42750.0,8977.5,0.0,51727.5
57,20250412,1,,659,1891,FULFILLED,71025.0,14915.25,1200.0,87140.25
58,20250221,2,4.0,338,4,FULFILLED,28425.0,5969.25,0.0,34394.25
59,20240921,1,,1068,2075,CANCELLED,43350.0,9103.5,1500.0,53953.5
60,20240701,1,,958,2539,FULFILLED,64200.0,13482.0,0.0,77682.0
61,20240225,2,4.0,428,4,CANCELLED,29160.0,6123.6,0.0,35283.6
62,20250301,1,,1337,88,FULFILLED,12000.0,2520.0,1200.0,15720.0
63,20241223,2,3.0,1442,3,FULFILLED,45000.0,9450.0,0.0,54450.0
64,20240530,1,,939,410,FULFILLED,37044.0,7779.24,1500.0,46323.24
65,20250304,1,,1409,311,FULFILLED,14850.0,3118.5,1200.0,19168.5
66,20240917,1,,1062,1403,FULFILLED,35280.0,7408.8,1200.0,43888.8
67,20240126,1,,988,138,CANCELLED,35280.0,7408.8,1200.0,43888.8
68,20250411,1,,778,1252,REFUNDED,14700.0,3087.0,900.0,18687.0
69,20241201,1,,77,624,PAID,84435.0,17731.35,0.0,102166.35
70,20240612,1,,700,480,FULFILLED,44100.0,9261.0,0.0,53361.0
71,20250725,1,,425,432,PAID,12000.0,2520.0,900.0,15420.0
72,20240722,2,3.0,1271,3,FULFILLED,11760.0,2469.6,0.0,14229.6
