order_item_sk,date_id,channel_sk,store_sk,customer_sk,location_sk,product_sk,quantity,unit_price,discount_amount,line_total
1,20241126,1,,356,599,2,2,15000.0,0.0,30000.0
2,20241126,1,,356,599,1,2,12000.0,2400.0,21600.0
3,20240131,1,,601,2538,1,1,12000.0,240.0,11760.0
4,20240131,1,,601,2538,2,2,15000.0,600.0,29400.0
5,20240131,1,,601,2538,1,2,12600.0,2520.0,22680.0
6,20250226,1,,1234,3067,1,1,12000.0,240.0,11760.0
7,20250226,1,,1234,3067,2,1,15000.0,1500.0,13500.0
8,20250301,1,,156,511,1,1,12000.0,1200.0,10800.0
9,20250301,1,,156,511,2,1,15000.0,300.0,14700.0
10,20240330,2,4.0,616,4,2,2,15750.0,1575.0,29925.0
11,20240330,2,4.0,616,4,2,1,15000.0,750.0,14250.0
12,20240312,2,2.0,614,2,1,2,12000.0,0.0,24000.0
13,20250715,1,,188,1152,2,1,15000.0,750.0,14250.0
14,20241111,1,,17,2581,2,1,15000.0,1500.0,13500.0
15,20240825,1,,1148,494,1,3,12000.0,0.0,36000.0
16,20240825,1,,1148,494,2,3,15000.0,4500.0,40500.0
17,20240825,1,,1148,494,1,1,12600.0,0.0,12600.0
18,20240330,1,,1037,978,2,1,13500.0,675.0,12825.0
19,20240313,2,1.0,1336,1,2,1,15000.0,300.0,14700.0
20,20250617,2,4.0,1239,4,2,1,15000.0,300.0,14700.0
21,20250617,2,4.0,1239,4,1,2,10800.0,2160.0,19440.0
22,20240809,2,3.0,1426,3,1,3,12000.0,720.0,35280.0
23,20250323,2,1.0,862,1,2,3,15750.0,2362.5,44887.5
24,20250323,2,1.0,862,1,1,3,12000.0,1800.0,34200.0
25,20250323,2,1.0,862,1,1,2,12000.0,1200.0,22800.0
26,20250818,1,,181,2921,1,1,12000.0,240.0,11760.0
27,20240915,1,,700,807,1,2,12000.0,480.0,23520.0
28,20250827,1,,475,2562,1,2,12600.0,2520.0,22680.0
29,20250219,2,2.0,753,2,2,2,15750.0,630.0,30870.0
30,20250219,2,2.0,753,2,1,3,12000.0,0.0,36000.0
31,20240714,1,,1151,1695,2,1,13500.0,270.0,13230.0
32,20240714,1,,1151,1695,1,2,13200.0,2640.0,23760.0
33,20240714,1,,1151,1695,2,3,15000.0,0.0,45000.0
34,20250421,1,,793,2616,1,3,12600.0,756.0,37044.0
35,20240506,1,,866,2378,2,3,16500.0,0.0,49500.0
36,20250923,1,,1110,1549,1,2,12000.0,480.0,23520.0
37,20240331,2,1.0,854,1,1,2,12000.0,0.0,24000.0
38,20250705,2,3.0,379,3,2,2,15000.0,600.0,29400.0
39,20250705,2,3.0,379,3,1,1,12000.0,0.0,12000.0
40,20250705,2,3.0,379,3,2,2,15000.0,3000.0,27000.0
41,20250302,2,2.0,441,2,1,1,12000.0,240.0,11760.0
42,20250826,1,,125,516,2,3,15750.0,2362.5,44887.5
43,20250826,1,,125,516,1,2,12600.0,0.0,25200.0
44,20241212,1,,1201,301,2,1,15000.0,1500.0,13500.0
45,20241202,1,,1055,1862,1,2,12000.0,1200.0,22800.0
46,20240517,1,,382,1423,1,1,12000.0,0.0,12000.0
47,20250914,1,,1456,1425,2,2,16500.0,660.0,32340.0
48,20250914,1,,1456,1425,1,3,12000.0,3600.0,32400.0
49,20250609,2,4.0,1377,4,1,3,12000.0,1800.0,34200.0
50,20250510,2,4.0,1375,4,1,2,12000.0,480.0,23520.0
51,20250315,1,,821,924,2,2,15000.0,3000.0,27000.0
52,20240608,2,4.0,1475,4,2,1,15000.0,300.0,14700.0
53,20241117,2,2.0,634,2,2,3,15750.0,2362.5,44887.5
54,20241117,2,2.0,634,2,2,3,15000.0,4500.0,40500.0
55,20240112,2,1.0,585,1,1,2,12000.0,2400.0,21600.0
56,20240924,1,,180,1863,1,2,12000.0,1200.0,22800.0
57,20240924,1,,180,1863,2,2,15000.0,3000.0,27000.0
58,20240126,1,,482,2325,1,2,12600.0,504.0,24696.0
59,20240202,2,1.0,620,1,1,1,12000.0,240.0,11760.0
60,20240523,2,1.0,603,1,1,3,10800.0,3240.0,29160.0
61,20240523,2,1.0,603,1,2,2,15000.0,0.0,30000.0
62,20240304,1,,1028,1149,1,1,12000.0,600.0,11400.0
63,20240114,2,3.0,1005,3,2,1,15000.0,750.0,14250.0
