payment_sk,payment_id,date_id,customer_sk,channel_sk,store_sk,location_sk,status,method,transaction_ref,amount
1,7000000000,20241127.0,356,1,,1914.0,PAID,CARD,TX-1HW3GM7Q6LFJ,63636.0
2,7000000001,,601,1,,2807.0,PENDING,GATEWAY,,78146.4
3,7000000002,20250228.0,1234,1,,130.0,PAID,CARD,TX-8PBOWVHD7B4I,32064.6
4,7000000003,20250302.0,156,1,,2669.0,PAID,CARD,TX-SQ97NPWQ6YK8,30855.0
5,7000000004,20240401.0,616,2,4.0,297.0,PAID,CARD,TX-F7761XS1CXDC,53451.75
6,7000000005,20240313.0,614,2,2.0,727.0,PAID,CASH,TX-RNWJHS1F8G0Y,29040.0
7,7000000006,20250717.0,188,1,,436.0,REFUNDED,CARD,TX-X2AJGZ36N3FR,18442.5
8,7000000007,20241114.0,17,1,,,PAID,CARD,TX-ZRHVYPGQTDRK,17535.0
9,7000000008,20240825.0,1148,1,,1022.0,PAID,CARD,TX-CHL80ZD8IP5O,109011.0
10,7000000009,20240331.0,1037,1,,101.0,PAID,GATEWAY,TX-J2VP8C6ROCZQ,16718.25
11,7000000010,20240314.0,1336,2,1.0,,REFUNDED,TRANSFER,TX-1UN1COQAVK65,17787.0
12,7000000011,20250617.0,1239,2,4.0,1163.0,PAID,CASH,TX-U5CXUHGK42O6,41309.4
13,7000000012,20240812.0,1426,2,3.0,2393.0,PAID,CARD,TX-GS664FN80M9E,42688.8
14,7000000013,20250323.0,862,2,1.0,346.0,PAID,CASH,TX-BZOPSO6JPRZD,123283.88
15,7000000014,20250820.0,181,1,,1242.0,PAID,CARD,TX-AD0J2NGELHNC,15129.6
16,7000000015,,700,1,,2272.0,FAILED,CARD,,29659.2
17,7000000016,20250829.0,475,1,,589.0,PAID,GATEWAY,TX-Y2BIADVO9F18,28642.8
18,7000000017,20250220.0,753,2,2.0,2056.0,PAID,CARD,TX-O7MTCOYJ61AJ,80912.7
19,7000000018,,1151,1,,1716.0,FAILED,GATEWAY,,100107.9
20,7000000019,20250423.0,793,1,,1527.0,PAID,CARD,TX-EMS8E80975XQ,46023.24
21,7000000020,20240506.0,866,1,,2937.0,PAID,CARD,TX-EZKXQ80I4527,59895.0
22,7000000021,20250925.0,1110,1,,2250.0,PAID,CARD,TX-BE5NW8R3MU50,29659.2
23,7000000022,20240402.0,854,2,1.0,1466.0,REFUNDED,TRANSFER,TX-I1Q2G15R83Y7,29040.0
24,7000000023,20250708.0,379,2,3.0,2102.0,PAID,CASH,TX-3TFFR8COO0FP,82764.0
25,7000000024,20250303.0,441,2,2.0,532.0,PAID,CARD,TX-91AAY0A1V9Q3,14229.6
26,7000000025,20250827.0,125,1,,1985.0,PAID,CARD,TX-SVYYRKPOYWM4,86005.88
27,7000000026,20241215.0,1201,1,,3168.0,PAID,CARD,TX-9O9IH4O8JG78,17535.0
28,7000000027,20241202.0,1055,1,,2325.0,PAID,CARD,TX-C245O7O7GRI9,28488.0
29,7000000028,20240518.0,382,1,,342.0,PAID,CARD,TX-J6HQJG5HEW5S,14520.0
30,7000000029,20250914.0,1456,1,,414.0,PAID,CARD,TX-DRZ2QYPBHF3H,79235.4
31,7000000030,20250611.0,1377,2,4.0,2585.0,PAID,CARD,TX-13PMNCYBLOP6,41382.0
32,7000000031,20250513.0,1375,2,4.0,928.0,PAID,CASH,TX-PFV0D0IML4NF,28459.2
33,7000000032,20250316.0,821,1,,2185.0,PAID,CARD,TX-UM2KN2XHQSHB,33870.0
34,7000000033,20240608.0,1475,2,4.0,2316.0,PAID,CASH,TX-PO2UBATPZ00H,17787.0
35,7000000034,20241119.0,634,2,2.0,1160.0,PAID,CASH,TX-922WAHDO61XN,103318.88
36,7000000035,20240113.0,585,2,1.0,2440.0,PAID,CARD,TX-Y8T15028LSUX,26136.0
