shipment_sk,shipped_date_id,shipped_at_time,delivered_date_id,delivered_at_time,customer_sk,channel_sk,store_sk,location_sk,carrier,tracking_number
1,20241127,07:50:47,20241130,07:50:47,356,1,,599,Correo Argentino,TRK-LM6S0ZIUQ6
2,20240201,01:00:04,20240205,01:00:04,601,1,,2538,Correo Argentino,TRK-S7JYRIGG48
3,20250227,19:39:44,20250301,19:39:44,1234,1,,3067,Correo Argentino,TRK-YI8R5NTIPW
4,20250302,17:35:36,20250306,17:35:36,156,1,,511,Correo Argentino,TRK-UWNN6LXYNU
5,20240330,02:46:36,20240331,02:46:36,616,2,4.0,4,PICKUP,
6,20240312,20:54:35,20240313,20:54:35,614,2,2.0,2,PICKUP,
7,20250716,22:55:56,20250720,22:55:56,188,1,,1152,Correo Argentino,TRK-UCA7R6D2X6
8,20241112,20:15:00,20241115,20:15:00,17,1,,2581,Correo Argentino,TRK-EEAFDZHDID
9,20240826,03:29:28,20240828,03:29:28,1148,1,,494,Correo Argentino,TRK-99ZZCRAXY6
10,20240331,10:34:46,20240403,10:34:46,1037,1,,978,Correo Argentino,TRK-M4QI31HO4X
11,20240313,02:19:39,20240314,02:19:39,1336,2,1.0,1,PICKUP,
12,20250617,03:46:29,20250618,03:46:29,1239,2,4.0,4,PICKUP,
13,20240809,14:38:29,20240810,14:38:29,1426,2,3.0,3,PICKUP,
14,20250323,11:26:14,20250324,11:26:14,862,2,1.0,1,PICKUP,
15,20250819,12:46:12,20250824,12:46:12,181,1,,2921,Correo Argentino,TRK-TEL745CSF0
16,,,,,700,1,,807,Correo Argentino,
17,20250828,22:46:32,20250902,22:46:32,475,1,,2562,Correo Argentino,TRK-2QJED48Q5H
18,20250219,14:36:04,20250220,14:36:04,753,2,2.0,2,PICKUP,
19,,,,,1151,1,,1695,Correo Argentino,
20,20250422,04:12:18,20250426,04:12:18,793,1,,2616,Correo Argentino,TRK-LU2ZLGLEOH
21,20240507,01:36:24,20240511,01:36:24,866,1,,2378,Correo Argentino,TRK-UD7KW642LM
22,20250924,22:05:51,20250926,22:05:51,1110,1,,1549,Correo Argentino,TRK-4588YSVCZA
23,20240331,02:16:34,20240401,02:16:34,854,2,1.0,1,PICKUP,
24,20250705,19:42:57,20250706,19:42:57,379,2,3.0,3,PICKUP,
25,20250302,15:57:05,20250303,15:57:05,441,2,2.0,2,PICKUP,
26,20250827,06:57:45,20250831,06:57:45,125,1,,516,Correo Argentino,TRK-YJMLEQMJ1S
27,20241213,23:59:48,20241216,23:59:48,1201,1,,301,Correo Argentino,TRK-IWZB9131BN
28,20241203,01:44:59,20241206,01:44:59,1055,1,,1862,Correo Argentino,TRK-F7ZF8SQ633
29,20240518,06:11:07,20240522,06:11:07,382,1,,1423,Correo Argentino,TRK-NW8EX6WAQP
30,20250915,02:43:49,20250920,02:43:49,1456,1,,1425,Correo Argentino,TRK-SNH0E9H2BV
31,20250609,19:02:55,20250610,19:02:55,1377,2,4.0,4,PICKUP,
32,20250510,11:15:07,20250511,11:15:07,1375,2,4.0,4,PICKUP,
33,20250316,14:37:22,20250318,14:37:22,821,1,,924,Correo Argentino,TRK-AF3QHYH0G0
34,20240608,03:23:04,20240609,03:23:04,1475,2,4.0,4,PICKUP,
35,20241117,01:24:31,20241118,01:24:31,634,2,2.0,2,PICKUP,
36,20240112,05:54:27,20240113,05:54:27,585,2,1.0,1,PICKUP,
37,20240925,18:59:17,20240928,18:59:17,180,1,,1863,Correo Argentino,TRK-JI1IJOL9GD
38,20240127,00:07:55,20240131,00:07:55,482,1,,2325,Correo Argentino,TRK-B103OLM2ZZ
39,20240202,22:29:21,20240203,22:29:21,620,2,1.0,1,PICKUP,
40,20240523,04:42:33,20240524,04:42:33,603,2,1.0,1,PICKUP,
41,,,,,1028,1,,1149,Correo Argentino,
42,20240114,09:59:03,20240115,09:59:03,1005,2,3.0,3,PICKUP,
43,20240928,21:17:36,20240930,21:17:36,790,1,,33,Correo Argentino,TRK-T6YEYXIY47
44,20240522,10:46:11,20240527,10:46:11,665,1,,2043,Correo Argentino,TRK-4BKBFC142A
45,20250903,12:32:15,20250905,12:32:15,562,1,,1135,Correo Argentino,TRK-OE8JOVHWT3
46,20240202,13:14:28,20240207,13:14:28,998,1,,1984,Correo Argentino,TRK-78RSWE9YNS
47,20240113,03:01:18,20240117,03:01:18,276,1,,493,Correo Argentino,TRK-ENFRRYBCN7
48,20240308,08:53:37,20240309,08:53:37,1469,2,2.0,2,PICKUP,
49,20240913,16:10:57,20240914,16:10:57,408,2,2.0,2,PICKUP,
50,20240811,19:35:54,20240812,19:35:54,1360,2,2.0,2,PICKUP,
51,20240726,00:25:00,20240730,00:25:00,1423,1,,665,Correo Argentino,TRK-2UFL9MQ11P
52,20240916,06:10:33,20240919,06:10:33,741,1,,1867,Correo Argentino,TRK-TL9JNTSSQA
53,20241105,03:12:44,20241107,03:12:44,969,1,,1612,Correo Argentino,TRK-RK6C2JA3AN
